import time: self [us] | cumulative | imported package
import time:       504 |      21405 |             pydantic._internal._model_construction
import time:       586 |        586 |               http
import time:       258 |        844 |             starlette.exceptions
import time:      3667 |       3667 |               annotated_types
import time:       491 |        491 |               pydantic._internal._validators
import time:      3499 |       3499 |               pydantic.types
import time:      2215 |       9870 |             pydantic.fields
import time:       858 |        858 |                   _csv
import time:       481 |       1338 |                 csv
import time:       289 |        289 |                     importlib._abc
import time:        93 |        382 |                   importlib.util
import time:       960 |       1341 |                 zipfile
import time:       219 |        219 |                     importlib.metadata._functools
import time:       267 |        485 |                   importlib.metadata._text
import time:       924 |       1409 |                 importlib.metadata._adapters
import time:       250 |        250 |                 importlib.metadata._meta
import time:       193 |        193 |                 importlib.metadata._collections
import time:        95 |         95 |                 importlib.metadata._itertools
import time:       367 |        367 |                         importlib.resources.abc
import time:       240 |        240 |                         importlib.resources._adapters
import time:       262 |        869 |                       importlib.resources._common
import time:       248 |        248 |                       importlib.resources._legacy
import time:       221 |       1337 |                     importlib.resources
import time:         9 |       1346 |                   importlib.resources.abc
import time:       252 |       1597 |                 importlib.abc
import time:      1050 |       7270 |               importlib.metadata
import time:       485 |       7755 |             pydantic.plugin._loader
import time:     13198 |      95850 |           fastapi.exceptions
import time:       544 |        544 |             fastapi.openapi
import time:       340 |        340 |                 fastapi.types
import time:       544 |        544 |                   shlex
import time:       391 |        391 |                           anyio._core
import time:      1902 |       2293 |                         anyio._core._contextmanagers
import time:       393 |        393 |                           anyio._core._exceptions
import time:       126 |        126 |                           sniffio
import time:       469 |        987 |                         anyio._core._eventloop
import time:       562 |        562 |                               anyio.abc._eventloop
import time:       278 |        278 |                               anyio.abc._resources
import time:       362 |        362 |                                 anyio._core._typedattr
import time:       310 |        310 |                                   anyio.abc._tasks
import time:      2256 |       2566 |                                 anyio.abc._streams
import time:       573 |       3499 |                               anyio.abc._sockets
import time:       454 |        454 |                               anyio.abc._subprocesses
import time:       911 |        911 |                               anyio.abc._testing
import time:       994 |        994 |                                 anyio.lowlevel
import time:       507 |        507 |                                 anyio._core._tasks
import time:       256 |        256 |                                 anyio._core._testing
import time:      2054 |       3810 |                               anyio._core._synchronization
import time:       920 |        920 |                               anyio.from_thread
import time:       439 |      10869 |                             anyio.abc
import time:       147 |      11016 |                           anyio.to_thread
import time:       770 |      11785 |                         anyio._core._fileio
import time:       274 |        274 |                         anyio._core._resources
import time:       212 |        212 |                         anyio._core._signals
import time:        98 |         98 |                             anyio.streams
import time:       547 |        645 |                           anyio.streams.stapled
import time:       696 |        696 |                           anyio.streams.tls
import time:       728 |       2068 |                         anyio._core._sockets
import time:       952 |        952 |                           anyio.streams.memory
import time:       235 |       1186 |                         anyio._core._streams
import time:       166 |        166 |                         anyio._core._subprocesses
import time:       400 |        400 |                         anyio._core._tempfile
import time:       638 |      20005 |                       anyio
import time:         9 |      20013 |                     anyio.to_thread
import time:       184 |      20196 |                   starlette.concurrency
import time:       265 |        265 |                   starlette.types
import time:       795 |      21799 |                 starlette.datastructures
import time:       382 |      22520 |               fastapi._compat.shared
import time:       164 |        164 |                 fastapi.openapi.constants
import time:      1342 |       1506 |               fastapi._compat.v2
import time:       179 |      24204 |             fastapi._compat
import time:       275 |        275 |             fastapi.logger
import time:       257 |        257 |               email_validator.exceptions
import time:       936 |        936 |               email_validator.types
import time:      3063 |       3063 |                 unicodedata
import time:     15675 |      15675 |                   email_validator.rfc_constants
import time:       555 |        555 |                       idna.idnadata
import time:       294 |        294 |                       idna.intranges
import time:      2336 |       3184 |                     idna.core
import time:       502 |        502 |                     idna.package_data
import time:       819 |       4504 |                   idna
import time:       784 |      20962 |                 email_validator.syntax
import time:       927 |      24951 |               email_validator.validate_email
import time:      1179 |       1179 |               email_validator.version
import time:       590 |      27911 |             email_validator
import time:       635 |        635 |               email.feedparser
import time:       393 |       1028 |             email.parser
import time:     68117 |     122076 |           fastapi.openapi.models
import time:      1968 |     220789 |         fastapi.params
import time:       654 |        654 |         fastapi.datastructures
import time:       258 |        258 |           fastapi.dependencies
import time:       198 |        198 |                 fastapi.security.base
import time:      1203 |       1203 |                   http.cookies
import time:       436 |        436 |                   starlette._utils
import time:        68 |         68 |                     python_multipart
import time:        46 |         46 |                     multipart
import time:       981 |       1094 |                   starlette.formparsers
import time:       185 |        185 |                     python_multipart
import time:       115 |        300 |                   python_multipart.multipart
import time:       215 |        215 |                     multipart
import time:        46 |        260 |                   multipart.multipart
import time:       871 |       4162 |                 starlette.requests
import time:      1057 |       5415 |               fastapi.security.api_key
import time:       379 |        379 |                 fastapi.security.utils
import time:      1691 |       2069 |               fastapi.security.http
import time:      1061 |       1061 |                 fastapi.param_functions
import time:      1257 |       2317 |               fastapi.security.oauth2
import time:       371 |        371 |               fastapi.security.open_id_connect_url
import time:       263 |      10433 |             fastapi.security
import time:        14 |      10447 |           fastapi.security.base
import time:      1191 |      11894 |         fastapi.dependencies.models
import time:       481 |        481 |             starlette.background
import time:       288 |        769 |           fastapi.background
import time:       567 |        567 |           fastapi.concurrency
import time:       503 |        503 |           fastapi.utils
import time:      2013 |       2013 |               _hashlib
import time:      1038 |       1038 |               _blake2
import time:       461 |       3511 |             hashlib
import time:        58 |         58 |               _winapi
import time:        43 |         43 |               winreg
import time:       471 |        572 |             mimetypes
import time:       408 |        408 |               hmac
import time:       298 |        706 |             secrets
import time:       961 |       5748 |           starlette.responses
import time:       396 |        396 |           starlette.websockets
